User,Followers,Following
kgoggz,"['zoopzap', 'ogaustinr', 'noahschifrin', 'gabefriedin', 'sarahgoldsteen', 'jgrund', 'geoff_minet', 'aidunn', 'blayko', 'emaculit', 'wjacobson124']","['zoopzap', 'noahschifrin', 'sarahgoldsteen', 'gabefriedin', 'blayko', 'amani_marshall', 'emaculit']"
alitawaifuangel,"['friggin', 'lzbthvdngrnd', 'bree20', 'cadster']","['friggin', 'cadster', 'lzbthvdngrnd', 'bree20']"
hwmelrose,"['onefellswoop', 'reeceq', 'the_laila', 'tooleyjenna']","['the_laila', 'tooleyjenna', 'reeceq']"
justgross,"['hannahhtran', 'krightnow', 'killryanrosu', 'shuuuuu', 'mshooster', 'filmsean', 'jaketay', 'jakemarston', 'swhisenhunt', 'nikhileshkumar', 'alexdarling', 'kangarue']",[]
joshcook,['nevinmcray'],['nevinmcray']
ph03b3,"['cinephiles', 'mannyunger', 'droliviawnophd', 'lilililicaplan', 'goodoldneon1', 'dustintmorris', 'ultrawelligton', 'alessandrosassi', 'amygeiger', 'jjlev', 'samchill', 'misterpip', 'bmi', 'theomatza', 'cyeoman']","['cinephiles', 'mannyunger', 'ultrawelligton', 'goodoldneon1', 'lilililicaplan', 'dustintmorris', 'droliviawnophd', 'amygeiger', 'alessandrosassi']"
melguo,"['bdv', 'sapphea', 'noahadams', 'aveyu', 'theomatza', 'gusaronson', 'taradorje', 'anqiyu']","['sapphea', 'aveyu', 'theomatza', 'gusaronson']"
irice,"['btchlen', 'krittikarc', 'jrode1105', 'trcksbeforefood', 'mshooster', 'evenlyslo', 'dosofsky', 'looseygoosey', 'justinayam', 'babehoward', 'alampietti', 'keithc12', 'jonnypong', 'thefrogmam', 'lucieplasse', 'chrischennn', 'arip', 'jsnyder19', 'anniening', 'maiagolden', 'drewpatmurphy', 'bigal2001', 'drac_ula', 'tophatattack', 'zenzelesol', 'audioelis', 'swaxxy', 'kim12601', 'suss_man', 'megwest', 'nsellman', 'justjoe1212', 'kiranewmark', 'cu77lefish', 'minujun']",['btchlen']
selfishjean,[],[]
mikeschmike,[],[]
mbloom,"['dmmoore18', 'natekrieger', 'jcicco', 'looseygoosey', 'lurobinson', 'dsorkin', 'aurorajuliet', 'gusaronson', 'sherwinyu99', 'anniening', 'mtspen', 'molscotti', 'chasemayo', 'amygeiger', 'stefanocastro7', 'droliviawnophd', 'fritzspofford', 'theomatza', 'slucente', 'gabriel_ballard', 'alessandrosassi']","['jcicco', 'natekrieger', 'aurorajuliet', 'anniening', 'dsorkin', 'gusaronson', 'mtspen', 'chasemayo', 'sherwinyu99', 'lurobinson', 'molscotti', 'amygeiger']"
the_laila,"['ndrewgood', 'jrobinson37', 'danegalbraith', 'reeceq', 'p_ersen', 'hwmelrose', 'tooleyjenna']","['ndrewgood', 'jrobinson37']"
lilyrspar,"['jwwarnock', 'antsnmypants', 'lepelstat', 'ggarrison', 'csilvermanlloyd', 'racconarmy', 'ivorc', 'baizluhrmann', 'hgoodwinpier', 'poppafignewton', 'davidmovies123', 'lilililicaplan', 'maheyg', 'steviemovies', 'frmorales01', 'sophgilb', 'broberts8']","['jwwarnock', 'lepelstat', 'sammyosmond', 'csilvermanlloyd', 'ggarrison', 'ivorc', 'racconarmy']"
mvw97,"['kim12601', 'akacatalina', 'julianatt', 'athln', 'jaxon_thatcher', 'thefrogmam', 'jhcarey', 'jcicco', 'natekrieger', 'looseygoosey']","['akacatalina', 'kim12601', 'julianatt', 'athln', 'jaxon_thatcher', 'jhcarey', 'jcicco', 'natekrieger']"
ppadmanabhan,"['tashazoey', 'clarkvan33', 'dpales']",[]
tjmnut,"['jaxwise', 'vocloz']","['lz', 'vocloz']"
michwang,"['lzbthvdngrnd', 'nevinmcray', 'oliviacrandall']","['nevinmcray', 'oliviacrandall']"
lalith,"['joliezhang', 'dustintmorris', 'rn0', 'saskiacurry', 'davidmovies123', 'vgorbaty', 'lzwizard', 'umi2000', 'racconarmy', 'obijur']","['eliotkimball', 'dustintmorris', 'joliezhang', 'saskiacurry', 'davidmovies123', 'steviemovies', 'vgorbaty', 'umi2000', 'lzwizard']"
vincenzotagle,[],[]
